Tem,DO,BOD,COD,Chla,TN,TTP,pH,NH4N,NH3N,PO4P,SS
18,9.5,0.9,3.1,2.2,1.557,0.038,7.6,0.055,1.312,0.015,6
19,9.4,0.7,2.7,5.8,1.474,0.027,7.7,0.03,1.269,0.012,2.2
20,10,1.2,3.2,17.8,1.546,0.035,8.2,0.027,1.272,0.003,3.6
21,9.6,1.7,4.5,11.8,1.605,0.035,8,0.015,1.342,0.003,5
24,10.4,2,4.7,12.1,1.872,0.091,8.7,0.017,1.327,0.007,6
28,11.8,2.2,4.1,17.4,1.593,0.046,9,0.015,1.251,0.004,2.8
25,6,1,3.3,13.7,1.69,0.057,7.6,0.046,1.389,0.002,4.4
20,8.8,0.4,3.8,1,2.324,0.06,8,0.12,1.881,0.033,6.6
20,12.7,0.4,3.4,1.2,2.06,0.066,7,0.055,1.853,0.021,16.2
20.9,8.1,0.7,3.9,2.7,1.503,0.056,6.5,0.025,1.325,0.014,13.4
21.3,9.5,0.7,3,7.2,1.672,0.043,6.5,0.017,1.357,0.007,14.5
20.7,7.3,0.6,3.3,1.9,1.562,0.051,7.1,0.025,1.329,0.016,12.8
21,9.6,0.6,2.3,1.7,1.628,0.036,7.2,0.022,1.228,0.012,5.2
21.3,9,0.8,3.5,1.4,1.529,0.055,7.1,0.022,1.307,0.007,5.1
21.6,8.4,0.7,3.1,2.9,1.367,0.03,8.2,0.01,1.173,0.004,4.6
22.2,8.7,0.5,3,3.2,1.339,0.027,7.9,0.027,1.085,0.001,3.5
22.4,9.1,1.4,2.9,16.4,1.382,0.027,7.7,0.019,1.046,0.003,3.8
20,9.6,0.9,2.6,12,1.363,0.025,7.6,0.013,1.076,0.001,3.4
20,8.4,1.4,3.4,22.3,2.389,0.032,8.5,0.012,0.968,0.005,4.8
19,8.8,0.5,3.4,6.6,1.376,0.02,8.9,0.011,1.108,0.005,3.6
18,9.4,0.7,3.6,18,1.596,0.026,8.3,0.027,1.198,0.001,5.4
16,9.4,0.6,4.1,11.6,1.526,0.018,7.2,0.019,1.268,0.003,5.2
14.2,10,0.8,3.8,22.3,1.553,0.015,7.6,0.021,1.157,0.002,6
13.1,12.2,0.5,3.1,15.6,1.535,0.014,7.6,0.027,1.272,0.001,4.8
10.4,10.6,1.2,4,16.8,1.621,0.027,7.5,0.012,1.341,0.001,4.9
7.9,11.9,1.2,3.4,19.7,1.7,0.024,9.3,0.03,1.426,0,3.8
8,12,0.6,3.3,5.6,1.732,0.02,7.4,0.091,1.387,0.003,2.5
5,12.4,0.4,3.2,4.1,1.56,0.015,7.7,0.074,1.282,0.001,2.5
5,12.8,0.5,3.2,4.1,1.536,0.016,8,0.054,1.236,0.006,2.4
4,14,0.8,3.1,10.7,1.669,0.014,8.1,0.08,1.341,0.002,2.7
2,13.5,1,3.7,9.5,2.027,0.017,8.8,0.064,1.643,0.001,2.4
1,14.1,0.9,3.3,12.1,1.923,0.02,9,0.059,1.406,0.001,3
3,13.7,1,3.3,19.1,1.852,0.021,8.8,0.032,1.424,0.001,3.4
2,15,1.2,3.3,24.6,1.792,0.014,10,0.051,1.464,0.001,3.6
3,14.8,1.5,3.7,32.8,1.757,0.025,9.4,0.036,1.364,0.001,4.8
3,15.5,2,3.3,40.4,1.757,0.026,8.7,0.047,1.307,0.002,4.2
2,15.3,1.6,4.1,22,1.867,0.026,9,0.043,1.473,0.002,6
3.3,16,2.2,4.4,43.1,1.819,0.037,8.9,0.054,1.251,0.006,7.4
5,15.1,2,4.6,24,1.744,0.028,9.1,0.045,1.189,0.001,6.8
5,14.2,1.7,3.6,11.5,1.725,0.028,9,0.092,1.266,0.003,4.8
7,13.3,1.6,3.5,16,1.592,0.016,8.8,0.059,1.231,0.002,3.8
8,13.2,1.8,3.8,18.9,1.753,0.027,8.8,0.045,1.215,0.001,5.4
9,13,1.4,4.2,17.4,1.744,0.028,8.5,0.066,1.259,0,4
11,12.6,1.2,3.6,9,1.602,0.022,8.4,0.039,1.303,0.002,8.4
12,13,1.9,4.6,13.8,1.573,0.026,8.7,0.052,1.204,0.003,3.4
12,10.8,1.3,3.6,9.2,1.624,0.029,8,0.117,1.122,0.002,4.2
13,10.7,0.7,3,3.7,1.483,0.016,8.2,0.051,1.187,0.002,2.6
16,10.8,1.1,4,3.6,1.772,0.023,7.8,0.084,1.341,0.003,3.6
17,10.7,1,3.8,8.1,1.606,0.023,8.2,0.076,1.214,0.002,3.4
16,11,0.9,2.5,7.5,1.013,0.021,8.2,0.029,0.773,0.001,4.2
18,10.7,0.9,3.2,11.1,1.621,0.015,8.5,0.021,1.353,0.002,3.4
18,10.2,1.1,3.1,6.4,1.384,0.015,8,0.047,1.184,0.002,3.4
19,9.5,0.6,3.2,1.9,1.708,0.015,8.1,0.092,1.196,0.002,1.6
19,10.4,0.5,1.9,4.7,1.665,0.015,8.6,0.046,1.365,0.005,2.2
23,10.3,1.3,3.5,6.5,1.425,0.013,8.6,0.013,1.232,0.003,2.8
25,11,2.1,5.9,16.5,1.418,0.023,9,0.017,1.151,0.001,4.4
25,10.9,2.2,4.9,23.2,1.434,0.016,9.1,0.007,1.08,0.001,2.8
18,10.8,0.4,3.6,2.1,1.669,0.057,7.2,0.01,1.422,0.016,25.7
19,9.8,0.4,2.5,1.4,1.464,0.025,7.4,0.012,1.351,0.01,12.8
20,8.9,0.8,2.6,3.5,1.547,0.036,7.4,0.008,1.265,0.003,10.6
22,9.1,0.7,2.9,6.1,1.411,0.024,7.6,0.014,1.231,0.003,8.6
22,10.3,0.4,3,0.3,1.483,0.043,7.8,0.038,1.182,0.015,15.8
22,8.1,0.7,2.4,6,1.588,0.048,7.2,0.04,1.243,0.011,7.8
21,8.7,0.5,2.6,5.3,1.538,0.041,7.5,0.034,1.144,0.006,9
21,9.2,0.7,3.3,7.6,1.398,0.028,7.8,0.01,1.275,0.003,7.3
22,8.9,0.6,2.3,4.6,1.259,0.021,8.2,0.009,1.078,0.004,4.8
21,8.4,0.5,2.7,5.3,1.315,0.021,7.4,0.042,1.084,0.004,4.1
21,9.1,0.8,3.3,6,1.335,0.018,7.4,0.02,1.105,0.003,4.5
21,9.8,0.7,3.8,8.4,1.256,0.019,7.9,0.01,1.061,0.001,2.6
20,9.4,1.3,4.3,16.5,1.234,0.021,7.5,0.005,1.023,0.001,4.2
18,9,0.6,2.7,7.3,1.255,0.011,7.6,0.019,1.019,0.001,3.1
17,9.5,0.9,2.8,14.9,1.269,0.02,7.6,0.011,1.217,0.001,5.9
16,8.8,0.5,2.8,6.8,1.233,0.026,7.7,0.121,1.01,0.004,3.8
14,9.3,1.7,3.3,4.7,1.317,0.027,7.4,0.058,1.031,0.001,3.8
14,9.5,0.5,3.7,5.2,1.325,0.027,7.7,0.074,1.019,0.005,4.2
10,10.4,0.5,3.9,5.9,1.404,0.028,8,0.052,1.151,0.009,3.3
9,11.4,0.7,2.8,6.5,1.552,0.022,7.6,0.034,1.172,0,3.4
8,11.3,0.7,3.8,4.8,1.5,0.018,7.4,0.039,1.274,0.002,3.4
5,12.4,1.3,3.8,11.2,1.543,0.015,7.8,0.022,1.27,0.002,3.9
5,12.6,0.8,3.7,8.5,1.591,0.016,8,0.01,1.314,0,2.6
3,12.9,0.8,2.9,2.9,1.568,0.014,7.7,0.028,1.28,0,1.9
1,13.3,0.8,2.7,2.4,1.578,0.014,8.6,0.062,1.262,0.002,1.3
1,14.4,0.6,2.8,1.9,1.803,0.013,7.8,0.066,1.287,0.005,1.3
0,13.1,0.8,3.3,1.4,1.8,0.026,7.8,0.141,1.372,0.019,1.1
1,13.5,0.5,3,2.3,1.649,0.014,8.3,0.062,1.34,0.003,1.4
1,13.9,0.5,2.6,3.9,1.755,0.019,8.5,0.136,1.313,0.005,1.6
2,14.4,0.8,3,14.4,1.657,0.02,8.2,0.066,1.347,0.001,3.5
1,14.6,1.4,4.1,21.4,1.699,0.02,8.7,0.113,1.321,0,3.9
3,14.7,0.8,3,18.6,1.715,0.016,8.5,0.051,1.353,0.001,3.8
3,15.1,1.6,3.5,31.9,1.616,0.023,8.7,0.025,1.298,0.001,5
4,14,1.5,3.8,25.7,1.624,0.016,8.9,0.025,1.305,0.001,5.4
6,13.5,1.5,4.3,16.2,1.834,0.023,8.5,0.036,1.512,0.001,5.2
6,13.3,1.1,3.8,12.3,1.654,0.023,8.1,0.053,1.342,0.001,3.9
7,12.9,1.3,3.8,9.7,1.829,0.025,8.5,0.058,1.389,0.001,3.4
9,12.9,1,3.9,5,1.529,0.02,8,0.053,1.34,0.002,2.8
10,11.4,1.1,3.2,7.3,1.7,0.018,8.6,0.073,1.456,0.001,3.7
10,12,1.1,3.6,6.3,1.472,0.017,8,0.045,1.208,0.001,3.2
10,11.7,0.9,4.4,6.5,1.527,0.011,7.6,0.047,1.242,0.003,2.8
12,11.8,1,3.1,6.7,1.471,0.019,7.7,0.021,1.299,0.002,2.3
14,12.3,1,3.7,9,1.484,0.013,8.3,0.055,1.231,0.003,2.9
15,11.4,1.5,3.1,8.8,1.486,0.024,8.4,0.048,1.164,0.004,5
16,10.2,0.9,3,9.8,1.535,0.026,7.6,0.04,1.362,0.002,4.2
16,11.1,0.8,3,8.8,1.565,0.015,7.9,0.031,1.297,0.002,4.1
18,11.7,0.9,3.5,6.7,1.463,0.018,7.9,0.018,0.276,0.003,4
18,10.6,0.7,3.1,7.3,1.828,0.02,8.1,0.025,1.634,0.003,5.8
21,9.8,1.2,3.4,8.1,1.621,0.014,7.9,0.041,1.214,0,3.3
24,10.4,1.9,4.3,20.5,1.619,0.016,8.5,0.036,1.333,0,3.6
27,12.1,1.3,4,17.6,1.506,0.014,9,0.015,1.261,0,4.4
26,9.8,1.3,3.7,14.1,1.521,0.017,8.3,0.047,1.18,0.001,3.6
22,8.4,1.1,4.3,9.4,1.91,0.024,7.7,0.037,1.748,0,7
24,9.1,1.2,3.8,16.7,1.641,0.027,8,0.001,1.438,0.001,5.2
24,8,1.5,4.8,41.4,1.726,0.037,7.3,0.005,1.488,0.003,9.2
24,8.6,1.2,4.1,25.6,1.774,0.034,7.3,0.016,1.529,0.002,7.2
22,8.2,0.6,3.8,3.5,2.271,0.06,8.1,0.12,1.934,0.023,12.8
24,8.7,0.8,3.6,8.4,2.09,0.024,7.3,0.045,1.784,0.011,7.7
21,8.9,0.4,3.5,7.1,2.047,0.023,7,0.064,1.763,0.014,10.1
22,8.7,0.6,2.7,5.9,1.905,0.024,7.3,0.023,1.662,0.008,7.8
20,10.3,0.4,2.7,1.1,1.844,0.047,7.2,0.036,1.679,0.014,8.8
19,9.6,0.5,3.1,8.2,1.739,0.014,7.7,0.015,1.625,0.002,4.6
18,9.2,0.5,3.6,7.3,1.705,0.01,7.4,0.022,1.477,0.001,3.6
18,9.9,0.9,3.3,10.5,1.664,0.019,7.9,0.02,1.462,0.004,3.6
17,9.6,0.6,3.2,8.7,1.662,0.022,8.8,0.023,1.403,0.003,3.4
15,9.6,0.7,3.8,8.8,1.636,0.022,8.6,0.03,1.387,0.001,4.4
14,9.8,0.8,3.8,9.6,1.613,0.015,7.7,0.031,1.392,0.001,3.7
10,10.2,0.4,3.6,5.6,1.784,0.014,7.9,0.055,1.479,0.006,2.9
9,10.6,0.5,3.5,4.2,1.861,0.024,8.1,0.097,1.568,0.003,2.7
7,11.3,0.5,2.9,5.3,1.755,0.017,8.4,0.031,1.471,0.002,2.3
6,11.7,0.7,2.9,6.6,1.776,0.018,7.7,0.037,1.479,0.002,2.6
4,12.6,0.8,2.7,8,1.736,0.013,7.9,0.068,1.432,0.003,2.7
3,12.9,0.7,3.1,7.3,1.887,0.013,8.1,0.068,1.483,0,2.1
1,13.5,0.7,3.2,9.1,1.916,0.015,8.3,0.052,1.55,0,1.8
1,14.6,1.2,2.8,18.4,1.925,0.014,8,0.008,1.607,0.001,2.6
1,14.5,0.9,3.5,17.1,1.857,0.018,8.2,0.109,1.545,0,3.3
1,15.1,1,3.4,26.2,1.858,0.021,8.1,0.047,1.606,0.001,3.7
0,15.3,1,3.6,32.2,1.952,0.023,8.2,0.051,1.627,0.001,3.1
2,14.2,0.9,3.1,16,1.892,0.019,8.4,0.074,1.348,0.003,2.6
2,13.7,1.2,3.2,13.3,1.559,0.021,8.5,0.065,1.324,0.006,2.6
4,15,1.2,3.2,10.4,1.747,0.024,7.9,0.11,1.279,0,4.9
4,13.8,1.3,3.1,11.3,1.647,0.019,8,0.064,1.322,0.002,3
5,13.5,1.1,3.6,9.2,1.726,0.017,8,0.109,1.286,0,2.9
5,13.5,1.2,3.4,9.4,1.688,0.014,7.7,0.055,1.326,0.001,3.1
6,13.5,1.3,3.2,12.5,1.645,0.02,8,0.021,1.317,0,2.9
7,13.3,1.2,3.2,11.8,1.667,0.02,8,0.063,1.291,0,3.1
9,13.1,1,2.5,6.9,1.586,0.015,8.1,0.037,1.203,0,2.5
10,12.5,0.9,3.5,5.5,1.52,0.019,8.2,0.04,1.23,0.003,2.8
11,12.1,1.2,3.2,9.4,1.673,0.017,8,0.091,1.263,0.001,2.8
11,11,0.8,3,6,1.612,0.013,7.5,0.093,1.27,0.001,2.1
13,10.6,0.9,3.9,4.1,3.166,0.048,7.5,0.108,2.651,0.005,10.4
14,10.6,1.2,3.6,4.9,2.949,0.042,7.3,0.068,2.638,0,11.8
16,11.3,1.2,3.9,6.6,2.419,0.02,7.8,0.046,1.998,0.002,4.1
15,11.1,1,2.5,6.1,2.144,0.02,7.5,0.04,1.809,0,3.9
15,11.8,1,2.8,6.9,1.889,0.014,7.7,0.041,1.544,0,2.6
18,11.3,1.3,3.2,9.5,2.14,0.026,7.9,0.06,1.432,0.002,2.9
19,11.5,0.6,3.1,1.1,1.688,0.012,7.9,0.029,1.358,0.001,2.3
19,11,0.5,2.9,3.4,1.584,0.011,7.9,0.021,1.262,0.001,2.5
17,11.3,0.5,3,2.8,2.99,0.042,7.2,0.08,2.377,0.018,9.5
17.5,10.8,0.5,2.8,1.7,2.468,0.038,7,0.041,2.151,0.013,9.8
16.7,12.2,0.4,2.7,2,2.053,0.049,7.2,0.03,1.8,0.018,17.8
19.7,10.9,0.5,2.8,1.8,2.122,0.04,7.2,0.031,1.586,0.008,6.7
18.4,12.5,0.4,3.3,2.4,1.584,0.065,7.3,0.033,1.466,0.008,21.8
20.3,11.5,0.4,2.5,3.4,1.578,0.038,7.6,0.024,1.285,0.01,7.8
20.2,10.9,0.4,3.1,4.8,1.853,0.036,7.3,0.054,1.388,0.008,6.4
21.3,10.4,0.8,3,9.9,1.71,0.025,7.6,0.024,1.323,0.001,4.8
23.2,10.2,0.7,3.7,8.8,1.579,0.03,8.1,0.027,1.216,0,1.9
23.7,9.5,0.7,3.1,10.4,1.546,0.037,7.9,0.035,1.158,0.005,3.2
23.3,10.6,0.9,3.7,16.9,1.551,0.024,7.9,0.011,1.151,0.005,4.5
21.2,9.7,1,3.8,20.7,1.817,0.022,7.8,0.011,1.713,0.004,3
20.4,10.7,0.9,3.9,20.8,1.524,0.018,8.2,0.017,1.17,0.003,6.2
18.8,10.7,0.9,3.2,14.2,1.639,0.025,7.7,0.011,1.203,0.004,4.1
18.1,10.6,0.8,2.9,16.2,1.702,0.027,7.3,0.005,1.222,0.002,4.4
16.1,10.7,1.1,3.3,15.1,1.66,0.018,8.2,0.018,1.257,0.004,4.1
15.2,10.4,0.6,3.6,8.3,1.677,0.018,7.6,0.021,1.284,0.001,3.1
14.5,10.5,0.5,3.2,3.2,1.659,0.021,7.5,0.028,1.475,0,1.6
15,10.4,0.5,3.2,4.5,1.787,0.031,7.9,0.055,1.372,0,2
12.7,10.9,0.5,3.4,7.4,1.84,0.013,7.6,0.02,1.333,0.004,2.3
11.4,11.2,0.7,3.6,9.6,1.998,0.026,7.6,0.033,1.39,0.002,2.4
9.5,11.6,0.9,3.2,5.2,2.071,0.025,7.7,0.033,1.529,0.006,3.1
8.2,11.8,0.8,3.5,6.3,1.958,0.017,7.5,0.028,1.506,0.002,3
6.3,12.2,0.8,3.4,6.5,1.882,0.025,7.3,0.052,1.742,0.003,6.3
3.9,12.9,0.7,1.9,5.3,2.491,0.024,7.4,0.081,1.794,0.004,3.6
